genbank accession number
PQ252345
OP866756
MN913537
OR269980
MZ146721
OQ986591
MH167388
KT945018
OQ924468
MT075480
MZ160905
MZ747442
OL416127
OL416125
OR146747
OR102498
MH078490
MT165636
OL422829
MN862433
PP235415
MG011718
OP866754
OP866753
MT394494
OL516353
OQ459667
OR662185
OP734318
PP409067
PP565409
OL516359
OL516355
PP065919
KX980393
PP033239
OQ790147
OR711915
OR766560
OK486524
PP625732
PP409069
PP065921
OM293961
OM681586
MZ712110
OL416130
ON462044
PP074324
PE017915
PE017913
PE017914
OQ361823
ON844088
ON844089
MW592718
MW079495
MN073100
KT257990
KT257974
MW592737
MZ423536
OQ361821
OL963972
ON844087
MW592727
OL516347
DQ176020
MN073126
MF326988
ON805850
KT258002
KT257997
MW592738
MN865563
MN865511
KT257956
MN865515
MN865547
MN865552
MN865545
MN865517
MN865514
MN865500
MN865557
MN865529
MK796165
MN073172
OQ540963
ON462045
PP065918
OR468246
OM201187
ON462049
MK780825
MK780824
KX621003
KU978619
ON462051
OL439476
OM201184
ON462046
OM201181
OP784966
MN547967
GU454850
GU232738
OP784965
MK279739
KT351739
KM189443
AY150312
MN046242
ON462047
KU131565
KU131563
MF669721
KY495781
OM293960
KX689233
MW592739
OF296814
KU318406
AF331831
MN865571
MN073151
KY348853
MN073127
GQ330474
MN865568
KP998417
AB811785
KP998419
KP998425
KP998423
KP998416
KP998427
KP998409
KP998404
KP998418
KP998421
KP998412
KP998426
KP998414
KP998408
KP998415
KP998410
KP998403
KF724406
MN401750
AB811786
AB811789
AB811788
MF326989
MN865549
MN865567
MN865541
OQ540962
MT178233
MN865559
KT257957
OP168793
OP168793
KM514315
MN073103.1
